topic,word_id,word,meaning,romanization
korean_topik_1,k_0193,일어나다,"To rise, get up",ireonada
korean_topik_1,k_0194,당신,Formal you,dangsin
korean_topik_1,k_0195,시장,"market,fair",sijang
korean_topik_1,k_0196,넣다,"Put in, set in",neota
korean_topik_1,k_0197,중요하다,"To be important,weighty",jungyohada
korean_topik_1,k_0198,무슨,"What, what kind of",museun
korean_topik_1,k_0199,느끼다,To feel,neukkida
korean_topik_1,k_0200,어렵다,"To be hard, difficult",eoryeopda
korean_topik_1,k_0201,힘,Power,him
korean_topik_1,k_0202,너무,Too much,neomu
korean_topik_1,k_0203,나라,A country,nara
korean_topik_1,k_0204,부르다,To call,bureuda
korean_topik_1,k_0205,의미,"A meaning, a sense",uimi
korean_topik_1,k_0206,자리,"seat,spot",jari
korean_topik_1,k_0207,밝히다,To light up,balkida
korean_topik_1,k_0208,죽다,"die,pass away",jukda
korean_topik_1,k_0209,이미,Already,imi
korean_topik_1,k_0210,쪽,"Way, direction",jjok
korean_topik_1,k_0211,정치,Politics,jeongchi
korean_topik_1,k_0212,국민,The people or a nationality,gukmin
korean_topik_1,k_0213,생명,Life,saengmyeong
korean_topik_1,k_0214,얘기,Story,yaegi
korean_topik_1,k_0215,학생,Student,haksaeng
korean_topik_1,k_0216,연구,Research,yeon-gu
korean_topik_1,k_0217,엄마,Mamma,eomma
korean_topik_1,k_0218,이름,Name,ireum
korean_topik_1,k_0219,하나,One,hana
korean_topik_1,k_0220,내리다,Descend,naerida
korean_topik_1,k_0221,사건,"An event,incident",sageon
korean_topik_1,k_0222,및,As well as,mit
korean_topik_1,k_0223,쉽다,To be easy,swipda
korean_topik_1,k_0224,짓다,"To make, build ; to form a line (a group)",jitda
korean_topik_1,k_0225,이유,Reason,iyu
korean_topik_1,k_0226,필요하다,To need,pillyohada
korean_topik_1,k_0227,글,"words, a verse",geul
korean_topik_1,k_0228,생기다,"arise,occur,happen",saenggida
korean_topik_1,k_0229,사용하다,To use,sayonghada
korean_topik_1,k_0230,남편,Husband,nampyeon
korean_topik_1,k_0231,밖,The outside,bak
korean_topik_1,k_0232,세상,"The world,society",sesang
korean_topik_1,k_0233,작다,Small,jakda
korean_topik_1,k_0234,타다,Ride (bus),tada
korean_topik_1,k_0235,대학,University,daehak
korean_topik_1,k_0236,작품,A work of art,jakpum
korean_topik_1,k_0237,상황,State of things,sanghwang
korean_topik_1,k_0238,가운데,In the middle,gaunde
korean_topik_1,k_0239,보내다,Send,bonaeda
korean_topik_1,k_0240,즉,"namely,that is to say",jeuk
korean_topik_1,k_0241,상태,"condition,state",sangtae
korean_topik_1,k_0242,이후,After that,ihu
korean_topik_1,k_0243,당시,At that time,dangsi
korean_topik_1,k_0244,문학,Literature,munhak
korean_topik_1,k_0245,더욱,More and more,deouk
korean_topik_1,k_0246,아주,Extremely,aju
korean_topik_1,k_0247,지방,"A locality, district",jibang
korean_topik_1,k_0248,밤,Night,bam
korean_topik_1,k_0249,높다,High,nopta
korean_topik_1,k_0250,최근,Recently,choegeun
korean_topik_1,k_0251,채,"As it is, no change",chae
korean_topik_1,k_0252,현실,"Actuality, reality",hyeonsil
korean_topik_1,k_0253,환경,Environment,hwangyeong
korean_topik_1,k_0254,컴퓨터,Computer,keompyuteo
korean_topik_1,k_0255,먼저,First,meonjeo
korean_topik_1,k_0256,다니다,Go to and from a aplace,danida
korean_topik_1,k_0257,얼마나,"How many, how much",eolmana
korean_topik_1,k_0258,자체,one’s own body,jache
korean_topik_1,k_0259,열다,Open,yeolda
korean_topik_1,k_0260,머리,Head,meori
korean_topik_1,k_0261,묻다,to Ask,mutda
korean_topik_1,k_0262,남다,"Remain, be left over",namda
korean_topik_1,k_0263,부분,"part,portion",bubun
korean_topik_1,k_0264,기업,An enterprise or business,gieop
korean_topik_1,k_0265,변화,"Change, transformation",byeonhwa
korean_topik_1,k_0266,아들,"son,baby",adeul
korean_topik_1,k_0267,아,Oh dear,a
korean_topik_1,k_0268,선거,An election,seongeo
korean_topik_1,k_0269,관하다,Refer to or be about,gwanhada
korean_topik_1,k_0270,분,Minutes,bun
korean_topik_1,k_0271,그냥,Just because or in that condition,geunyang
korean_topik_1,k_0272,나누다,To divide,nanuda
korean_topik_1,k_0273,이용하다,"To use, make use of",iyonghada
korean_topik_1,k_0274,거의,Almost or nearly,geoui
korean_topik_1,k_0275,곧,Soon,got
korean_topik_1,k_0276,중심,"The nucleus, the focus, the heart",jungsim
korean_topik_1,k_0277,활동,Activity,hwaldong
korean_topik_1,k_0278,오늘,Today,oneul
korean_topik_1,k_0279,서로,"mutually,one another",seoro
korean_topik_1,k_0280,관심,Concern or interest,gwansim
korean_topik_1,k_0281,역시,"As expected, likewise",yeoksi
korean_topik_1,k_0282,이거,This thing,igeo
korean_topik_1,k_0283,애,"A baby, or a slightly derogative word for person",ae
korean_topik_1,k_0284,광고,Advertisement,gwanggo
korean_topik_1,k_0285,나다,"To come out, grow, spring up",nada
korean_topik_1,k_0286,방,A room,bang
korean_topik_1,k_0287,정신,"mind,spirit",jeongsin
korean_topik_1,k_0288,이르다,"To reach, arrive, get at",ireuda
korean_topik_1,k_0289,이루다,"Accomplish, complete",iruda
korean_topik_1,k_0290,아침,Morning,achim
korean_topik_1,k_0291,웃다,"To laugh, smile",utda
korean_topik_1,k_0292,현상,"The present situation, state",hyeonsang
korean_topik_1,k_0293,기술,Art or technique or ability,gisul
korean_topik_1,k_0294,전체,"The whole, the entire section",jeonche
korean_topik_1,k_0295,그래,So or yes or that’s right,geurae
korean_topik_1,k_0296,얻다,"Get, obtain",eotda
korean_topik_1,k_0297,아름답다,To be beautiful,areumdapda
korean_topik_1,k_0298,끝,The end,kkeut
korean_topik_1,k_0299,민족,"race,nation,people",minjok
korean_topik_1,k_0300,간,The interval between,gan
korean_topik_1,k_0301,조사,"investigation,inquiry",josa
korean_topik_1,k_0302,듯,To be like something,deut
korean_topik_1,k_0303,입,Mouth,ip
korean_topik_1,k_0304,뭐,Huh? (2) something,mwo
korean_topik_1,k_0305,그대로,Like that,geudaero
korean_topik_1,k_0306,영화,A movie,yeonghwa
korean_topik_1,k_0307,필요,"Need, requirement,necessity",piryo
korean_topik_1,k_0308,줄,"way,method",jul
korean_topik_1,k_0309,하늘,The sky,haneul
korean_topik_1,k_0310,년대,Year,nyeondae
korean_topik_1,k_0311,과학,Science,gwahak
korean_topik_1,k_0312,자연,Nature,jayeon
korean_topik_1,k_0313,정말,Really,jeongmal
korean_topik_1,k_0314,구조,Construction or structure,gujo
korean_topik_1,k_0315,결국,After all or in the end,gyeolguk
korean_topik_1,k_0316,밥,"Rice, a meal",bap
korean_topik_1,k_0317,입다,To wear,ipda
korean_topik_1,k_0318,오히려,"Rather,preferably",ohiryeo
korean_topik_1,k_0319,프로그램,Program,peurogeuraem
korean_topik_1,k_0320,네,Yes,ne
korean_topik_1,k_0321,이루어지다,"Get accomplished, achieved",irueojida
korean_topik_1,k_0322,남,"Others, other people",nam
korean_topik_1,k_0323,하루,A day,haru
korean_topik_1,k_0324,그림,A picture,geurim
korean_topik_1,k_0325,적,"The time,the occasion,when",jeok
korean_topik_1,k_0326,터,"one’s status, one’s lot",teo
korean_topik_1,k_0327,마시다,To drink,masida
korean_topik_1,k_0328,치다,"to attack, assault",chida
korean_topik_1,k_0329,혼자,Alone,honja
korean_topik_1,k_0330,나가다,"To advance, proceed, go forward",nagada
korean_topik_1,k_0331,이제,Now,ije
korean_topik_1,k_0332,교수,Teaching or instruction,gyosu
korean_topik_1,k_0333,술,Alcohol,sul
korean_topik_1,k_0334,사랑,Love,sarang
korean_topik_1,k_0335,전화,Telephone,jeonhwa
korean_topik_1,k_0336,끝나다,To draw to a close or to end,kkeunnada
korean_topik_1,k_0337,맞다,"Be right, correct; to match, be fitting for",matda
korean_topik_1,k_0338,아빠,Dad,appa
korean_topik_1,k_0339,걸리다,To be hung up or suspended,geollida
korean_topik_1,k_0340,지키다,"Protect, maintain",jikida
korean_topik_1,k_0341,한번,Once,hanbeon
korean_topik_1,k_0342,커피,Coffee,keopi
korean_topik_1,k_0343,가슴,Chest,gaseum
korean_topik_1,k_0344,길다,To be long,gilda
korean_topik_1,k_0345,바라보다,"Look at, watch ; to look forward to, hope for",baraboda
korean_topik_1,k_0346,알아보다,"To investigate, examine, search",araboda
korean_topik_1,k_0347,맛,Flavor,mat
korean_topik_1,k_0348,대부분,Most,daebubun
korean_topik_1,k_0349,산업,Industry,saneop
korean_topik_1,k_0350,매우,Very,maeu
korean_topik_1,k_0351,오르다,"Go up, climb, ascend",oreuda
korean_topik_1,k_0352,음식,Food,eumsik
korean_topik_1,k_0353,표정,"Facial expression, look",pyojeong
korean_topik_1,k_0354,꼭,For sure,kkok
korean_topik_1,k_0355,일부,"A part, a portion",ilbu
korean_topik_1,k_0356,요즘,"Recently, nowadays",yojeum
korean_topik_1,k_0357,계획,A plan or a project,gyehoek
korean_topik_1,k_0358,느낌,"Touch, feel",neukkim
korean_topik_1,k_0359,얼마,"How many, how much",eolma
korean_topik_1,k_0360,고개,The nape of the neck,gogae
korean_topik_1,k_0361,성격,"Personality ; character, nature",seonggyeok
korean_topik_1,k_0362,계속,Continuously,gyesok
korean_topik_1,k_0363,세기,Century,segi
korean_topik_1,k_0364,세우다,"Stand up, erect",seu-uda
korean_topik_1,k_0365,아내,Wife,anae
korean_topik_1,k_0366,가족,Family,gajok
korean_topik_1,k_0367,현재,"The present time, now, at present",hyeonjae
korean_topik_1,k_0368,세,Three,se
korean_topik_1,k_0369,발전,Development,baljeon
korean_topik_1,k_0370,차,"A vehicle, train/auto car",cha
korean_topik_1,k_0371,놀다,"Play, amuse oneself",nolda
korean_topik_1,k_0372,향하다,"To face, look out on",hyanghada
korean_topik_1,k_0373,관련,Relation or connection or reference,gwallyeon
korean_topik_1,k_0374,형태,"Form, shape",hyeongtae
korean_topik_1,k_0375,각,Each or every,gak
korean_topik_1,k_0376,도시,City,dosi
korean_topik_1,k_0377,작업,Work,jageop
korean_topik_1,k_0378,분위기,"atmosphere,surroundings",bunwigi
korean_topik_1,k_0379,그러하다,To be so or right,geureohada
korean_topik_1,k_0380,나이,Age,nai
korean_topik_1,k_0381,우선,"First of all, before everything",useon
korean_topik_1,k_0382,믿다,Believe,mitda
korean_topik_1,k_0383,바꾸다,"change,exchange",bakkuda
korean_topik_1,k_0384,낳다,To give birth,natcha
korean_topik_1,k_0385,바,"A thing, what",ba
korean_topik_1,k_0386,정보,"information,intelligence",jeongbo
korean_topik_1,k_0387,열리다,"Open, be opened, be unlocked",yeollida
korean_topik_1,k_0388,좋아하다,"To like, be fond of",joahada
korean_topik_1,k_0389,그리다,Picture or draw a picture,geurida
korean_topik_1,k_0390,만큼,Of that amount,mankeum
korean_topik_1,k_0391,배우다,To learn,baeuda
korean_topik_1,k_0392,시,"Poetry, lines of verse",si
korean_topik_1,k_0393,역할,"A part, a role",yeokhal
korean_topik_1,k_0394,옆,Next to,yeop
korean_topik_1,k_0395,행동,"Action, behavior",haengdong
korean_topik_1,k_0396,어,"Oh, well, why",eo
korean_topik_1,k_0397,국내,Inside the country,guknae
korean_topik_1,k_0398,비하다,Compare to,bihada
korean_topik_1,k_0399,기관,An engine or a machine,gigwan
korean_topik_1,k_0400,입장,"A position, situation",ipjang
korean_topik_1,k_0401,만하다,Be of the extent of,manhanda
korean_topik_1,k_0402,예,Example,ye
korean_topik_1,k_0403,아래,"The bottom, the lower part",arae
korean_topik_1,k_0404,방식,"A form, method, process",bangsik
korean_topik_1,k_0405,영향,"Influence, consequences",yeonghyang
korean_topik_1,k_0406,그럼,Certainly or of course.,geureom
korean_topik_1,k_0407,나서다,"Come out, come forth",naseoda
korean_topik_1,k_0408,흐르다,"Flow, stream",heureuda
korean_topik_1,k_0409,저,"Uh, well, …",jeo
korean_topik_1,k_0410,깊다,Deep,gipda
korean_topik_1,k_0411,배,A boat (boating),ba
korean_topik_1,k_0412,내,Inside,nae
korean_topik_1,k_0413,모양,"A shape, form",moyang
korean_topik_1,k_0414,산,A mountain,san
korean_topik_1,k_0415,새,New,sae
korean_topik_1,k_0416,하지만,"But, nevertheless",hajiman
korean_topik_1,k_0417,조건,"condition,stipulation",jokgeon
korean_topik_1,k_0418,문,Door,mun
korean_topik_1,k_0419,꽃,Flower,kkot
korean_topik_1,k_0420,단계,"A step, phase",dangye
korean_topik_1,k_0421,올리다,"Raise, lift up",ollida
korean_topik_1,k_0422,그동안,During that time,geudongan
korean_topik_1,k_0423,교사,Instructor,gyosa
korean_topik_1,k_0424,갑자기,Suddenly,gapjagi
korean_topik_1,k_0425,넘다,Cross or go across,neomda
korean_topik_1,k_0426,지니다,"Carry with, hold, possess",jinida
korean_topik_1,k_0427,바람,Wind,baram
korean_topik_1,k_0428,잘하다,To do well,jalhada
korean_topik_1,k_0429,마을,Town,maeul
korean_topik_1,k_0430,어리다,"To be very young, juvenile",eorida
korean_topik_1,k_0431,대표,Representative,daepyo
korean_topik_1,k_0432,가능성,Possibility,ganeungseong
korean_topik_1,k_0433,방향,Direction,banghyang
korean_topik_1,k_0434,대회,A great meeting,daehoe
korean_topik_1,k_0435,목소리,Voice,moksori
korean_topik_1,k_0436,노래,Song,norae
korean_topik_1,k_0437,바다,Sea,bada
korean_topik_1,k_0438,힘들다,"To be hard, difficult",himdeulda
korean_topik_1,k_0439,공부,Study,gongbu
korean_topik_1,k_0440,움직이다,"To move, stir",umjigida
korean_topik_1,k_0441,의원,A member,uiwon
korean_topik_1,k_0442,노력,Effort,nor yeok
korean_topik_1,k_0443,전혀,"entirely,utterly,completely",jeon hyeo
korean_topik_1,k_0444,언니,Older sister,eon ni
korean_topik_1,k_0445,단체,"A corps, a group",dan che
korean_topik_1,k_0446,분,One part,bun
korean_topik_1,k_0447,알려지다,To become known,al lyeo ji da
korean_topik_1,k_0448,가능하다,To be possible,ga neung ha da
korean_topik_1,k_0449,능력,"Ability, capability, how much and how well",neung nyeok
korean_topik_1,k_0450,주장하다,"To assert,maintain",ju jang ha da
korean_topik_1,k_0451,자식,one’s children,ja sik
korean_topik_1,k_0452,불,Fire,bul
korean_topik_1,k_0453,주민,"inhabitants,dwellers",jumin
korean_topik_1,k_0454,모으다,"gather,get together",mo-euda
korean_topik_1,k_0455,자료,"materials,data",jaryo
korean_topik_1,k_0456,존재,Existence,jonjae
korean_topik_1,k_0457,학년,A school year,haknyeon
korean_topik_1,k_0458,신문,A newspaper,sinmun
korean_topik_1,k_0459,가지다,Entertain or hold or have,gajida
korean_topik_1,k_0460,이해하다,To understand,ihaehada
korean_topik_1,k_0461,제품,Manufactured goods,jepum
korean_topik_1,k_0462,분야,Field,bunya
korean_topik_1,k_0463,선생,Teacher,seonsaeng
korean_topik_1,k_0464,사업,Business,saeop
korean_topik_1,k_0465,행위,"An act, deed, behavior",haengwi
korean_topik_1,k_0466,수준,Level,sujune
korean_topik_1,k_0467,지난해,Last year,jinaenhae
korean_topik_1,k_0468,표현,"Verbal expression, representation, manifestation",pyohyeon
korean_topik_1,k_0469,기분,Mood,gibun
korean_topik_1,k_0470,대,"Era, period",dae
korean_topik_1,k_0471,젊다,"To be young,youthful",jeomda
korean_topik_1,k_0472,옷,Clothes,ot
korean_topik_1,k_0473,기능,Function or functionality,ginyeong
korean_topik_1,k_0474,순간,"A moment,a second",sungan
korean_topik_1,k_0475,전쟁,War,jeonjaeng
korean_topik_1,k_0476,전,Before,jeon
korean_topik_1,k_0477,꿈,A Dream,kkum
korean_topik_1,k_0478,할머니,Grandmother,halmeoni
korean_topik_1,k_0479,회의,"A meeting, a conference",hoeui
korean_topik_1,k_0480,방송,Broadcast,bangsong
korean_topik_1,k_0481,이야기하다,To talk,iyagihada
korean_topik_1,k_0482,나무,Tree,namu
korean_topik_1,k_0483,자다,To sleep,jada
korean_topik_1,k_0484,연극,"drama,a play",yeongeuk
korean_topik_1,k_0485,마찬가지,The same,machangaji
korean_topik_1,k_0486,걷다,To walk,geodda
korean_topik_1,k_0487,노동,"Labor, work",nodong
korean_topik_1,k_0488,이때,"At this time, moment",itttae
korean_topik_1,k_0489,과거,The past,gwageo
korean_topik_1,k_0490,가치,Price,gachi
korean_topik_1,k_0491,시간,a Length of time (한시간 동안),sigan
korean_topik_1,k_0492,집단,"A group, a collective body",jipdan
korean_topik_1,k_0493,현대,"The present age, times",hyeondae
korean_topik_1,k_0494,살펴보다,Watch closely,salpyeoboda
korean_topik_1,k_0495,장관,A government cabinet minister,janggwan
korean_topik_1,k_0496,차이,"difference,disparity",chai
korean_topik_1,k_0497,풀다,"Untie, loosen ; to melt into",pulda
korean_topik_1,k_0498,시절,"season,time,occasion",sijeol
korean_topik_1,k_0499,물건,A thing,mulgeon
korean_topik_1,k_0500,직접,Directly,jikjeop
korean_topik_2,k_0501,개인,Private or individual,gaein
korean_topik_2,k_0502,근데,But or however,geunde
korean_topik_2,k_0503,발,Foot,bal
korean_topik_2,k_0504,작가,"writer,author",jakga
korean_topik_2,k_0505,효과,"Effect, effectiveness",hyogwa
korean_topik_2,k_0506,불교,Buddhism,bulgyo
korean_topik_2,k_0507,끌다,Pull,kkeulda
korean_topik_2,k_0508,대로,"Like, according to",daero
korean_topik_2,k_0509,빨리,Quickly,ppalli
korean_topik_2,k_0510,시작되다,"To begin,start",sijakdoeda
korean_topik_2,k_0511,말다,Cease,malda
korean_topik_2,k_0512,설명하다,To explain,seolmyeonghada
korean_topik_2,k_0513,우주,The universe,uju
korean_topik_2,k_0514,시기,"An opportunity,chance",sigi
korean_topik_2,k_0515,마치,"As though, as if",machi
korean_topik_2,k_0516,살,Years old,sal
korean_topik_2,k_0517,생산,1) production 2)birth,saengsan
korean_topik_2,k_0518,바라다,"Wish, hope",barada
korean_topik_2,k_0519,강하다,To be strong or powerful,ganghada
korean_topik_2,k_0520,경험,Experience or undergo or suffer,gyeongheom
korean_topik_2,k_0521,음악,Music,eumak
korean_topik_2,k_0522,최고,The best,chwego
